island,island_code,month,year,var_wsmean_ms,var_gustmax_ms,var_tmean_c,var_tdailymax_c,var_tmax_c,var_tdailymin_c,var_tmin_c,var_rhmean_perc,var_rhmax_perc,var_rhmin_perc,var_preciptot_inch
San Miguel,mi,Sep,2008,10.01,25.93,13.99,17.7,36.9,11.93,9.6,88.68,100,0,0
San Miguel,mi,Oct,2008,0.26,14.81,13.2,17.2,27.1,7.75,-18.5,92.67,100,0,19.77
San Miguel,mi,Nov,2008,2.3,16.46,12.44,13.77,16.7,10.82,7.7,92.73,100,0,0
San Miguel,mi,Dec,2008,8.4,28.29,10.19,12.22,16.6,8.12,-4.9,91.17,100,0,0
San Miguel,mi,Jan,2009,7.92,24.18,12.62,15.43,24.2,11.84,0,71.06,100,0,0
San Miguel,mi,Feb,2009,7.99,22.12,12.29,14.42,18.9,10.06,9.3,85.03,100,0,0
San Miguel,mi,Mar,2009,10.31,31.69,10.63,13.41,22.5,8.63,6.1,87.99,100,0,0
San Miguel,mi,Apr,2009,12.63,28.81,10.61,13.31,28.1,8.18,7.1,90.61,100,0,0
San Miguel,mi,May,2009,9.45,27.26,10.76,13.54,31.3,9.11,0,98.57,100,0,0
San Miguel,mi,Jun,2009,9.6,28.81,13.29,15.73,18.3,11.63,9.8,97.25,100,0,0
San Miguel,mi,Jul,2009,10.05,23.67,12.83,15.61,19.5,11.29,9.9,97.42,100,0,0
San Miguel,mi,Aug,2009,9.39,25.21,13.31,16.34,22.6,12.61,10.2,97.49,100,0,0
San Miguel,mi,Sep,2009,8.32,29.84,15.47,19.54,28.3,13.05,11.4,86.06,100,35.9,0
San Miguel,mi,Oct,2009,11.45,32.92,13.17,15.76,24.8,12.08,10,81.75,100,0,0
San Miguel,mi,Nov,2009,10.86,29.32,12.22,14.94,21.5,11.54,9.6,87.71,100,0,0
San Miguel,mi,Dec,2009,7.88,31.9,9.86,12.13,15.8,8.59,4.2,92.25,100,0,0
San Miguel,mi,Jan,2010,7.69,34.47,11.19,13.58,18.8,10.23,6.5,93.33,100,73,0
San Miguel,mi,Feb,2010,9.23,24.69,10.54,12.54,17.4,9.44,6,86.47,100,0,0
San Miguel,mi,Mar,2010,11.63,32.41,10.49,12.61,22.3,9.48,6.1,89,100,0,0
San Miguel,mi,Apr,2010,10.61,27.78,10.24,12.58,20.7,8.54,4.7,95.09,100,0,0.02
San Miguel,mi,May,2010,12.73,32.92,10.81,13.88,24.9,8.8,7.2,94.46,100,0,0
San Miguel,mi,Jun,2010,13.78,31.53,11.29,13.74,19.9,9.76,8.7,92.47,100,0,0
San Miguel,mi,Jul,2010,9.57,25.62,12.61,15.13,18.2,11.19,9.5,87.32,100,0,0
San Miguel,mi,Aug,2010,11.02,28.19,12.39,15.12,27,10.77,9.8,90.63,100,0,0
San Miguel,mi,Sep,2010,7.19,24.9,19.73,22.6,36.9,15.21,9.6,81.81,100,0,0
San Miguel,mi,Oct,2010,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Nov,2010,7.23,28.81,11.74,15.25,30.2,10.13,5.6,96.91,100,0,0
San Miguel,mi,Dec,2010,10.85,36.01,10.42,12.17,20.6,9.96,5.8,96.56,100,0,0
San Miguel,mi,Jan,2011,8.91,28.5,11.47,13.98,20.9,9.56,7.4,96.07,100,0,0
San Miguel,mi,Feb,2011,9.03,31.53,9.62,12.18,20.8,7.75,3.4,97.73,100,0,0
San Miguel,mi,Mar,2011,10.93,32.67,10.71,13.24,30,8.66,6.1,87.98,100,0,0
San Miguel,mi,Apr,2011,13.25,28.29,10.37,12.67,16.7,8.48,4.9,90.67,100,0,0
San Miguel,mi,May,2011,14.18,30.81,10.41,12.98,15.3,8.62,7.7,92.39,100,79,0
San Miguel,mi,Jun,2011,10.9,30.61,11.56,14.24,16.9,9.93,4.6,86.89,100,0,0
San Miguel,mi,Jul,2011,9.74,27.26,13.71,16.61,23.1,11.74,10.6,83.11,100,0,0
San Miguel,mi,Aug,2011,14.04,29.12,12.67,14.97,21.1,11.37,10.5,87.43,100,0,0
San Miguel,mi,Sep,2011,9.65,25.57,13.81,16.14,19.2,12.06,10.9,89.67,100,0,0
San Miguel,mi,Oct,2011,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Nov,2011,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Dec,2011,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jan,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Feb,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Mar,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Apr,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,May,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jun,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jul,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Aug,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Sep,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Oct,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Nov,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Dec,2012,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jan,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Feb,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Mar,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Apr,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,May,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jun,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jul,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Aug,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Sep,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Oct,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Nov,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Dec,2013,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jan,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Feb,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Mar,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Apr,2014,4.94,5.85,12.69,13.33,13.33,12.05,12.05,19,20.54,17.46,25.06
San Miguel,mi,May,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jun,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Jul,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Aug,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Sep,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Oct,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Nov,2014,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,Dec,2014,null,null,null,null,null,null,null,null,null,null,null
Santa Rosa,ro,Jan,2007,5.29,26.38,9.42,13.62,27.22,6.31,1.11,58.23,96,9,2.38
Santa Rosa,ro,Feb,2007,6.14,22.35,10.03,14.19,25.56,6.98,2.78,73.68,95,4,1.46
Santa Rosa,ro,Mar,2007,5.79,29.06,11.73,16.54,29.44,8.46,3.33,65.42,95,7,0.08
Santa Rosa,ro,Apr,2007,8.27,29.06,9.72,14.37,26.11,7.39,4.44,79.94,96,20,0.55
Santa Rosa,ro,May,2007,6.26,null,null,null,null,null,null,44,44,44,0
Santa Rosa,ro,Jun,2007,6.16,21.9,null,null,null,null,null,83.43,97,44,0
Santa Rosa,ro,Jul,2007,6.02,20.12,14.22,17.78,17.78,11.11,11.11,83.04,98,34,0
Santa Rosa,ro,Aug,2007,5.44,17.88,17.33,22.67,35,13.67,10.56,77.29,99,6,0.02
Santa Rosa,ro,Sep,2007,6.27,25.93,18.55,23.21,40,14.93,8.89,73.88,98,23,0.54
Santa Rosa,ro,Oct,2007,7.22,28.16,18.29,22.72,35,14.53,8.33,62.78,97,2,0.14
Santa Rosa,ro,Nov,2007,4.4,22.35,13.43,18.93,30,9.68,6.11,64.03,96,8,0.01
Santa Rosa,ro,Dec,2007,6.12,24.59,9.21,13.46,22.22,6.33,2.78,68.2,96,16,0.67
Santa Rosa,ro,Jan,2008,7.15,32.19,9.25,12.67,23.33,6.72,2.22,68.63,96,8,4.11
Santa Rosa,ro,Feb,2008,5.93,26.82,10.46,14.87,25.56,7.39,4.44,68.91,96,15,0.01
Santa Rosa,ro,Mar,2008,7.73,23.25,10.28,14.68,27.22,7.13,3.89,71.8,100,12,0.35
Santa Rosa,ro,Apr,2008,8.48,26.82,11.17,15.5,30.56,7.71,3.33,69.36,99,8,0.15
Santa Rosa,ro,May,2008,7.14,28.16,11.11,15.48,32.78,7.79,5.56,78.85,99,16,0.01
Santa Rosa,ro,Jun,2008,6.77,27.72,13.96,18.72,37.78,10.24,6.11,72.54,100,5,0
Santa Rosa,ro,Jul,2008,5.32,19.67,13.91,18.89,26.67,10.45,8.89,82.58,99,22,0
Santa Rosa,ro,Aug,2008,4.17,17.88,15.72,21.2,27.22,11.38,9.44,73.52,94,15,0
Santa Rosa,ro,Sep,2008,4.73,18.78,16.18,21.37,30.56,12.76,10,69.82,98,5,0
Santa Rosa,ro,Oct,2008,5.38,27.72,18.09,23.62,33.89,13.69,7.22,47.7,100,2,0.02
Santa Rosa,ro,Nov,2008,5.93,27.72,15.34,19.87,30.56,11.72,7.78,61.53,100,7,0.56
Santa Rosa,ro,Dec,2008,5.81,24.14,9.93,14.23,26.67,7.28,3.89,69.58,99,9,1.87
Santa Rosa,ro,Jan,2009,4.89,21.9,14.21,18.55,28.89,10.93,4.44,47.36,100,7,0.21
Santa Rosa,ro,Feb,2009,5.66,26.38,10.24,14.05,25.56,7.68,3.33,71.38,100,9,2.27
Santa Rosa,ro,Mar,2009,6.09,23.69,9.95,14.46,25,6.86,3.33,73.95,98,15,0.25
Santa Rosa,ro,Apr,2009,7.76,31.29,11.05,15.65,34.44,7.65,4.44,71.68,98,10,0.1
Santa Rosa,ro,May,2009,6.41,25.03,11.69,16.9,25.56,8.32,6.67,84.47,98,30,0.05
Santa Rosa,ro,Jun,2009,5.77,21.46,13.22,18.18,25,10.21,8.33,85.27,98,34,0.06
Santa Rosa,ro,Jul,2009,4.75,17.88,15.35,21.67,28.89,10.64,8.89,78.73,99,21,0
Santa Rosa,ro,Aug,2009,5.02,20.12,16.81,22.44,36.11,12.49,9.44,73.01,99,5,0
Santa Rosa,ro,Sep,2009,4.85,21.9,19.38,25.57,36.11,14.67,10,63.71,99,8,0.01
Santa Rosa,ro,Oct,2009,6.29,28.16,15.5,20.64,32.78,11.68,7.78,68.74,100,8,0.17
Santa Rosa,ro,Nov,2009,5.18,24.59,14.83,20.07,31.67,11.29,7.78,55.5,99,9,0
Santa Rosa,ro,Dec,2009,5.35,26.38,10.31,14.68,26.67,7.78,2.78,72.69,100,18,1.73
Santa Rosa,ro,Jan,2010,4.74,35.32,12.66,17.03,25.56,9.46,4.44,66.28,99,13,5.38
Santa Rosa,ro,Feb,2010,5.68,24.14,10.94,15.06,26.11,8.29,4.44,80.31,99,19,3.75
Santa Rosa,ro,Mar,2010,6.96,26.38,11.82,16.2,26.11,8.51,5,68.1,97,10,0.28
Santa Rosa,ro,Apr,2010,7.55,27.27,10.36,14.35,23.33,7.56,3.89,80.57,97,17,1.25
Santa Rosa,ro,May,2010,8.58,29.06,10.72,14.93,28.89,7.72,6.11,82.26,97,14,0.05
Santa Rosa,ro,Jun,2010,7.81,23.69,11.66,16.28,23.89,8.93,7.78,88.59,98,50,0.02
Santa Rosa,ro,Jul,2010,6.11,21.46,12.36,16.93,25,9.94,8.33,88.61,98,48,0.01
Santa Rosa,ro,Aug,2010,6.37,21.9,13.82,18.66,30.56,10.54,8.89,80.97,98,17,0
Santa Rosa,ro,Sep,2010,5.58,25.03,16.97,22.46,39.44,13.26,8.89,68.89,98,11,0.03
Santa Rosa,ro,Oct,2010,4.88,23.25,15.04,19.77,32.78,11.65,9.44,76.6,99,14,0.74
Santa Rosa,ro,Nov,2010,5.44,23.25,13.71,18.09,33.33,10.37,4.44,59.63,98,12,0.49
Santa Rosa,ro,Dec,2010,6.78,29.5,11.09,14.55,30,8.57,3.89,80.91,100,13,6.89
Santa Rosa,ro,Jan,2011,5.44,24.14,13.1,18.1,27.22,9.86,4.44,55.61,98,12,1.78
Santa Rosa,ro,Feb,2011,6.04,31.29,10.24,14.54,24.44,6.97,2.22,65.43,99,8,1.6
Santa Rosa,ro,Mar,2011,7.74,37.55,10.39,14.16,31.67,7.63,3.89,91.93,100,21,3.36
Santa Rosa,ro,Apr,2011,8.43,26.82,10.16,13.93,27.78,7.22,2.22,99.63,100,59,0.17
Santa Rosa,ro,May,2011,9.08,27.27,11.05,14.97,28.89,8.04,6.11,90.57,100,43,0.26
Santa Rosa,ro,Jun,2011,6.98,24.14,11.49,15.67,23.89,9.06,7.22,89.44,97,53,0.66
Santa Rosa,ro,Jul,2011,6.07,18.33,14.32,18.62,27.78,11.49,8.89,83.45,98,11,0.02
Santa Rosa,ro,Aug,2011,6.95,20.12,12.93,17.58,25,10.45,9.44,88.43,98,34,0.03
Santa Rosa,ro,Sep,2011,4.93,21.01,15.73,21.09,34.44,11.93,8.89,78.54,99,14,0.01
Santa Rosa,ro,Oct,2011,5.08,19.67,16.4,21.4,36.67,12.35,8.89,68.69,100,9,0.2
Santa Rosa,ro,Nov,2011,5.78,22.8,12.54,16.79,26.67,9.82,6.67,69.84,99,7,3.32
Santa Rosa,ro,Dec,2011,4.64,20.12,11.49,16.56,26.11,8.12,5.56,60.59,98,3,0.37
Santa Rosa,ro,Jan,2012,5.96,22.35,13.42,18.1,28.33,10,5,52.55,98,3,0.46
Santa Rosa,ro,Feb,2012,7.34,24.14,10.78,15.21,26.11,7.82,3.33,68.59,98,15,0.61
Santa Rosa,ro,Mar,2012,6.87,29.5,9.79,14.32,26.67,6.36,2.78,72.18,98,8,1.05
Santa Rosa,ro,Apr,2012,6.74,26.38,10.77,15.61,26.11,7.15,3.33,67.55,92,4,2.17
Santa Rosa,ro,May,2012,8.62,31.29,10.45,15.34,25.56,7.09,5.56,51.78,91,1,0.03
Santa Rosa,ro,Jun,2012,7.55,25.93,11.21,16.07,21.67,8.33,6.67,34.27,97,2,0.03
Santa Rosa,ro,Jul,2012,5.66,21.9,12.75,17.09,26.67,9.93,8.89,86.72,99,35,0.05
Santa Rosa,ro,Aug,2012,4.75,16.09,17.04,22.6,31.67,12.29,9.44,69.15,97,16,0.01
Santa Rosa,ro,Sep,2012,4.93,16.09,17.41,22.54,35.56,12.94,10,68.28,97,2,0.02
Santa Rosa,ro,Oct,2012,5.84,21.9,17.04,21.42,34.44,13.64,8.89,65.9,97,3,0.08
Santa Rosa,ro,Nov,2012,5.4,22.8,14.74,18.52,32.78,12.22,7.22,66.76,98,5,1.17
Santa Rosa,ro,Dec,2012,5.74,24.59,10.17,13.16,20.56,8.03,3.89,77.72,97,20,1.7
Santa Rosa,ro,Jan,2013,5.86,23.69,11.12,14.82,23.89,8.39,2.78,52.5,97,6,0.83
Santa Rosa,ro,Feb,2013,6.31,28.61,10.14,13.97,23.89,7.24,2.78,65.9,96,10,0.39
Santa Rosa,ro,Mar,2013,5.83,23.69,11.83,16.4,26.67,8.42,4.44,71.43,100,8,1.08
Santa Rosa,ro,Apr,2013,7.64,29.95,11.58,16.21,28.33,8.71,5.56,81.65,100,11,0.24
Santa Rosa,ro,May,2013,8.82,27.72,13.27,17.49,31.67,10.16,7.22,78.32,99,4,0.17
Santa Rosa,ro,Jun,2013,6.57,26.38,14.58,18.94,33.33,11.39,9.44,80.06,98,7,0.17
Santa Rosa,ro,Jul,2013,5.97,16.99,14.81,19.62,28.33,11.9,10,83.31,98,13,0.18
Santa Rosa,ro,Aug,2013,6.83,18.78,14.58,18.89,33.33,11.86,10,82.1,97,1,0.24
Santa Rosa,ro,Sep,2013,6.59,22.8,16.28,21.06,27.78,12.87,10,73.78,98,4,0.09
Santa Rosa,ro,Oct,2013,5.4,19.67,14.99,18.92,30.56,12.13,8.89,68.66,98,4,0.26
Santa Rosa,ro,Nov,2013,5.21,20.12,14.56,18.76,25.56,11.57,9.44,62.81,98,7,0.7
Santa Rosa,ro,Dec,2013,5.56,21.9,14.06,18.1,26.67,11.11,4.44,41.94,98,3,0.17
Santa Rosa,ro,Jan,2014,5.5,24.59,16.03,19.98,27.22,12.91,8.89,46.95,99,4,0.05
Santa Rosa,ro,Feb,2014,7.14,30.85,12.01,15.56,25.56,9.31,6.67,76.64,100,8,3.66
Santa Rosa,ro,Mar,2014,6.88,25.93,12.96,16.58,28.33,10.13,7.22,74.99,100,12,0.77
Santa Rosa,ro,Apr,2014,7.07,22.35,13.33,17.82,31.11,9.98,6.67,71.69,100,8,0.4
Santa Rosa,ro,May,2014,8.56,25.48,15.02,19.13,35.56,11.83,7.78,72.35,100,5,0.12
Santa Rosa,ro,Jun,2014,7.08,21.9,13.03,17.28,28.89,10.46,8.33,90.61,100,28,0.24
Santa Rosa,ro,Jul,2014,5.68,21.01,16.95,21.54,28.89,13.91,11.67,83.71,100,11,0.12
Santa Rosa,ro,Aug,2014,5.41,21.46,16.42,21.17,27.22,13.38,12.22,84.69,100,15,0.12
Santa Rosa,ro,Sep,2014,6.92,22.8,16.74,21.46,26.67,13.94,12.78,83.02,100,18,0.14
Santa Rosa,ro,Oct,2014,5.02,20.12,19.08,23.69,35.56,15.54,10,65.73,100,5,0.67
Santa Rosa,ro,Nov,2014,5.43,22.35,16.84,20.65,29.44,13.91,10,57.12,100,4,0.29
Santa Rosa,ro,Dec,2014,6.36,28.61,12.86,15.14,26.11,11.17,5,80.68,100,17,7.41
Santa Rosa,ro,Jan,2015,4.14,16.54,15.22,18.91,26.11,12.4,6.67,56.64,100,8,0.61
Santa Rosa,ro,Feb,2015,5.67,22.8,14.23,17.6,26.67,11.64,8.33,72.46,100,11,0.47
Santa Rosa,ro,Mar,2015,5.5,22.8,15.93,20.89,30.56,12.03,7.78,60.94,100,8,0.32
Santa Rosa,ro,Apr,2015,7.07,24.59,13.01,17.39,26.67,9.61,7.22,69.57,100,6,0.19
Santa Rosa,ro,May,2015,8.02,21.46,11.2,15.14,21.67,9.03,7.22,87.61,100,6,0.32
Santa Rosa,ro,Jun,2015,6.7,21.46,14.17,18.3,27.78,11.02,9.44,86.35,100,17,0.44
Santa Rosa,ro,Jul,2015,6.09,19.67,16.55,20.74,30,13.91,12.22,86.86,100,24,0.19
Santa Rosa,ro,Aug,2015,7.66,21.01,17.39,21.61,32.78,14.72,13.33,83.09,100,23,0.18
Santa Rosa,ro,Sep,2015,4.99,18.33,20.74,25.41,33.89,17.33,12.78,63.69,100,3,0.07
Santa Rosa,ro,Oct,2015,5.87,20.56,19.51,24.27,36.11,16.13,11.67,71.98,100,12,0.33
Santa Rosa,ro,Nov,2015,5.91,25.93,14.79,18.68,29.44,11.93,7.78,57.11,100,2,0.58
Santa Rosa,ro,Dec,2015,7.64,26.82,11.35,14.57,22.22,9.25,5,70.56,100,15,0.76
Santa Rosa,ro,Jan,2016,6.71,30.4,11.51,14.73,20.56,9.41,6.11,81.81,100,15,2.26
Santa Rosa,ro,Feb,2016,5.76,32.19,17.02,21.32,29.44,13.56,6.67,47.17,100,10,0.42
Santa Rosa,ro,Mar,2016,8.31,27.27,12.04,15.19,25.56,9.82,7.22,85.54,100,18,2.38
Santa Rosa,ro,Apr,2016,8.25,26.38,13.55,17.59,28.33,10.56,7.78,75.71,100,9,0.4
Santa Rosa,ro,May,2016,6.78,21.46,11.76,15.22,19.44,9.62,8.33,91.98,100,40,0.28
Santa Rosa,ro,Jun,2016,6.67,22.8,15.8,20.71,30.56,11.82,8.89,76.33,100,11,0.19
Santa Rosa,ro,Jul,2016,5.36,21.01,15.83,21.11,28.89,12.28,10,81.71,100,4,0.12
Santa Rosa,ro,Aug,2016,6.52,19.22,14.32,18.51,25,11.89,10.56,90.85,100,10,0.28
Santa Rosa,ro,Sep,2016,5.85,21.9,18.09,22.48,36.67,15.06,10.28,67.88,100,9,0.07
Santa Rosa,ro,Oct,2016,6.16,23.25,16.5,20.18,32.22,13.83,10.56,71.74,100,7,0.56
Santa Rosa,ro,Nov,2016,5.94,25.03,16.08,19.93,31.67,12.86,7.78,61.04,100,13,1.5
Santa Rosa,ro,Dec,2016,6.2,22.35,11.82,15.15,24.44,9.26,5.56,70.32,100,8,1.61
Santa Cruz,cz,Jan,2007,1.13,18.33,10.38,18.48,26.67,4.77,-2.78,57.26,98,8,2.21
Santa Cruz,cz,Feb,2007,1.46,18.33,11.48,18.87,29.44,6.03,2.78,71.69,98,12,1.7
Santa Cruz,cz,Mar,2007,1.29,19.22,14.44,22.22,32.78,7.99,3.89,59.89,97,7,0
Santa Cruz,cz,Apr,2007,1.79,20.12,13.81,21.37,29.44,7.54,3.33,68.18,97,14,0.85
Santa Cruz,cz,May,2007,1.44,19.22,15.39,22.72,37.22,9.14,5.56,67.1,97,6,0
Santa Cruz,cz,Jun,2007,1.17,17.88,17.3,25.29,33.33,10.26,7.78,69.2,97,11,0
Santa Cruz,cz,Jul,2007,0.9,10.73,20.3,28.53,33.89,13.16,10.56,67.71,97,19,0
Santa Cruz,cz,Aug,2007,0.76,9.39,20.51,29.27,37.78,13.26,10,66.94,97,26,0
Santa Cruz,cz,Sep,2007,1.19,11.62,19.11,27.65,40,11.89,8.33,64.12,96,9,0.54
Santa Cruz,cz,Oct,2007,1.63,17.43,17.78,25.81,33.89,11.18,6.67,54.94,97,7,0.48
Santa Cruz,cz,Nov,2007,0.55,11.18,13.64,22.78,32.78,8.09,3.89,69.47,97,7,0.1
Santa Cruz,cz,Dec,2007,1.27,20.12,10.97,18.46,31.11,4.84,1.11,63.9,98,9,3.25
Santa Cruz,cz,Jan,2008,1.54,20.56,11.16,17.13,26.67,6.11,1.67,66.41,98,8,10.54
Santa Cruz,cz,Feb,2008,0.94,16.09,11.79,19.52,28.33,6.42,1.11,68.42,97,16,4.5
Santa Cruz,cz,Mar,2008,0.51,8.49,14.71,22.31,29.44,7.46,3.33,52.47,96,10,0
Santa Cruz,cz,Apr,2008,0.52,7.6,15.53,23.48,34.44,8.22,2.78,53.31,96,6,0.71
Santa Cruz,cz,May,2008,0.32,7.15,16.1,23.23,37.22,8.91,5,61.78,96,9,0
Santa Cruz,cz,Jun,2008,0.19,6.71,19.92,28.09,42.22,11.68,8.33,58.95,96,2,0
Santa Cruz,cz,Jul,2008,0.06,4.02,19.67,27.12,33.33,13.41,10,71.19,96,23,0
Santa Cruz,cz,Aug,2008,0.01,3.13,19.81,27.99,31.67,13.44,11.11,73.68,96,38,0
Santa Cruz,cz,Sep,2008,0.05,4.02,19.12,28.11,37.78,12.48,10,71.98,96,15,0
Santa Cruz,cz,Oct,2008,0.19,6.71,18.73,28.44,37.22,10.95,6.11,49.73,95,2,0.03
Santa Cruz,cz,Nov,2008,0.3,7.15,16.32,24.52,32.22,10.28,6.11,59.68,97,5,2.37
Santa Cruz,cz,Dec,2008,0.31,6.71,10.77,18.12,27.22,5.89,0.56,70.67,97,12,3.34
Santa Cruz,cz,Jan,2009,0.3,6.26,14.18,22.01,30.56,7.74,1.11,51.17,96,7,0.43
Santa Cruz,cz,Feb,2009,0.28,6.71,11.63,18.33,27.22,6.29,1.67,70.39,96,7,3.23
Santa Cruz,cz,Mar,2009,0.43,9.39,12.72,20.14,28.33,6.02,2.22,67.01,96,12,0.33
Santa Cruz,cz,Apr,2009,1.99,21.46,13.01,20.96,36.67,6.21,2.78,58.44,94,5,0.16
Santa Cruz,cz,May,2009,1.69,16.54,16.33,23.49,32.22,10.38,6.11,66.17,94,17,0
Santa Cruz,cz,Jun,2009,1.34,13.41,15.94,22.52,28.33,10.09,7.22,71.98,94,36,0.11
Santa Cruz,cz,Jul,2009,0.75,7.6,18.57,26.9,31.67,11.08,8.33,68.13,94,18,0
Santa Cruz,cz,Aug,2009,0.86,13.41,18.89,27.91,37.78,11.49,7.22,64.07,94,13,0
Santa Cruz,cz,Sep,2009,0.7,12.07,19.51,29.07,37.22,12.11,10,64.79,95,3,0
Santa Cruz,cz,Oct,2009,1.32,18.33,16.11,24.57,36.67,9.43,4.44,60.52,95,6,0.96
Santa Cruz,cz,Nov,2009,1.09,18.33,13.38,23.33,30.56,6.26,2.78,55.91,95,8,0
Santa Cruz,cz,Dec,2009,1,17.88,9.71,17.08,24.44,4.5,0,69.11,95,19,3.66
Santa Cruz,cz,Jan,2010,0.82,15.65,11.23,19.36,26.11,5.66,1.67,66.98,95,10,6.12
Santa Cruz,cz,Feb,2010,1.05,15.2,11.22,17.99,26.67,5.95,1.67,74.29,99,19,6.18
Santa Cruz,cz,Mar,2010,1.97,18.78,13.12,19.02,26.11,7.51,2.78,61.98,98,8,0.53
Santa Cruz,cz,Apr,2010,2.06,20.12,12.5,17.48,26.67,7.48,5,70.62,99,16,1.17
Santa Cruz,cz,May,2010,2.37,20.12,15.03,20.86,29.44,9.52,6.67,62.26,98,9,0.22
Santa Cruz,cz,Jun,2010,1.24,12.52,15.12,20.83,24.44,10.35,8.33,77.68,98,32,0.01
