insectID,reserv,taxa,trip,sex,location,lat,long,l.context,c.w,ce,total.poll,sc.total.poll,b.napus,e.planta,prot,aster,v.rosea,sola,acacia,fire,prop.noncrop,prop.crop,prop.tree,prop.flow,richness,predom.pollen,wood.crop,veg,shrubs,trees,dom.under,canopy,soil,debris,flow.cov,canola.cov,dist,scdist,native.veg,ag.field,year,changeover,zone100,zone50,zone200,Species,Simp,context.site,shan,even,rare.rich,rare.shan,rare.even
1Bow1C2fly1,Bow1C2,fly,1,U,Bowgada,-29.3407,116.167367,canola,w,core,398,0.398,0,0,0,371,0,27,0,0,1,0,0,1,2,0,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,Muscidae sp1,Musc,canola core,0.248013411,0.357807718,1.126792653,0.248013411,0.357807718
1Bow1C2wasp1,Bow1C2,bee,1,F,Bowgada,-29.3407,116.167367,canola,w,core,381,0.381,0,0,0,381,0,0,0,0,1,0,0,1,1,0,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,Neopasiphae mirabills,Neo,canola core,0,0,1,0,0
1Bow1CAN1bee1,Bow1CAN1,bee,1,F,Bowgada,-29.342417,116.166883,crop,c,crop,662,0.662,662,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1CAN1bee2,Bow1CAN1,bee,1,F,Bowgada,-29.342417,116.166883,crop,c,crop,1111,1.111,1111,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1CAN1bee3,Bow1CAN1,bee,1,F,Bowgada,-29.342417,116.166883,crop,c,crop,705,0.705,705,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1CAN1bee4,Bow1CAN1,bee,1,F,Bowgada,-29.342417,116.166883,crop,c,crop,19075,19.075,19075,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1CAN1bee5,Bow1CAN1,bee,1,F,Bowgada,-29.342417,116.166883,crop,c,crop,894,0.894,894,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1CAN2bee1,Bow1CAN2,bee,1,F,Bowgada,-29.342517,116.1648,crop,c,crop,803,0.803,803,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1CAN2bee2,Bow1CAN2,bee,1,F,Bowgada,-29.342517,116.1648,crop,c,crop,449,0.449,449,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1CAN2bee3,Bow1CAN2,bee,1,F,Bowgada,-29.342517,116.1648,crop,c,crop,9169,9.169,9169,0,0,0,0,0,0,0,0,1,0,0,1,1,crop,canola,0,0,crop,low,0,0,0.9,90,0,0,3.353884,0.198596,1,no,NA,NA,NA,Apis mellifera,Apis,crop crop,0,0,1,0,0
1Bow1E1bee1,Bow1E1,bee,1,M,Bowgada,-29.341917,116.166817,canola,w,edge,1257,1.257,0,0,0,1257,0,0,0,0,1,0,0,1,1,0,wood,YGJ,10,6,native forbs,high,0.5,0.4,0.12444,90,39.67,0.03967,3.353884,0.198596,1,yes,close,close,close,Leioproctus sp15,Leio15,canola edge,0,0,1,0,0
1Bow1E1bee2,Bow1E1,bee,1,M,Bowgada,-29.341917,116.166817,canola,w,edge,236,0.236,0,0,0,236,0,0,0,0,1,0,0,1,1,0,wood,YGJ,10,6,native forbs,high,0.5,0.4,0.12444,90,39.67,0.03967,3.353884,0.198596,1,yes,close,close,close,Leioproctus sp22,Leio22,canola edge,0,0,1,0,0
1Bow1E1bee3,Bow1E1,bee,1,M,Bowgada,-29.341917,116.166817,canola,w,edge,481,0.481,10,0,0,471,0,0,0,0,0.979209979,0.020790021,0,0.979209979,2,0,wood,YGJ,10,6,native forbs,high,0.5,0.4,0.12444,90,39.67,0.03967,3.353884,0.198596,1,yes,close,close,close,Leioproctus sp22,Leio22,canola edge,0.101098012,0.1458536,1.040800416,0.101098012,0.1458536
1Bow1E1fly1,Bow1E1,fly,1,U,Bowgada,-29.341917,116.166817,canola,w,edge,326,0.326,14,0,0,266,46,0,0,0,0.957055215,0.042944785,0,0.957055215,3,0,wood,YGJ,10,6,native forbs,high,0.5,0.4,0.12444,90,39.67,0.03967,3.353884,0.198596,1,yes,close,close,close,Muscidae sp1,Musc,canola edge,0.577466937,0.525633058,1.313430864,0.577466937,0.525633058
1Bow1E1wasp1,Bow1E1,bee,1,F,Bowgada,-29.341917,116.166817,canola,w,edge,1385,1.385,336,0,0,396,653,0,0,0,0.757400722,0.242599278,0,0.757400722,3,0,wood,YGJ,10,6,native forbs,high,0.5,0.4,0.12444,90,39.67,0.03967,3.353884,0.198596,1,yes,close,close,close,Neopasiphae mirabills,Neo,canola edge,1.056084124,0.961289196,1.63756182,1.056084124,0.961289196
1Bow1E2fly1,Bow1E2,fly,1,U,Bowgada,-29.342,116.165133,canola,w,edge,761,0.761,0,0,0,534,0,151,76,0,1,0,0.099868594,0.900131406,3,0,wood,YGJ,12,6,native forbs,high,0.4,0.6,0.09778,90,28.76,0.02876,3.353884,0.198596,1,yes,close,close,close,Muscidae sp1,Musc,canola edge,0.799578999,0.72780817,1.458862992,0.799578999,0.72780817
1Bow1E2wasp1,Bow1E2,bee,1,F,Bowgada,-29.342,116.165133,canola,w,edge,375,0.375,0,0,0,375,0,0,0,0,1,0,0,1,1,0,wood,YGJ,12,6,native forbs,high,0.4,0.6,0.09778,90,28.76,0.02876,3.353884,0.198596,1,yes,close,close,close,Neopasiphae mirabills,Neo,canola edge,0,0,1,0,0
1Bow1E2wasp2,Bow1E2,bee,1,F,Bowgada,-29.342,116.165133,canola,w,edge,1518,1.518,158,0,0,1360,0,0,0,0,0.895915679,0.104084321,0,0.895915679,2,0,wood,YGJ,12,6,native forbs,high,0.4,0.6,0.09778,90,28.76,0.02876,3.353884,0.198596,1,yes,close,close,close,Neopasiphae mirabills,Neo,canola edge,0.333965568,0.481810468,1.186624492,0.333965568,0.481810468
1Bow1E2wasp3,Bow1E2,bee,1,F,Bowgada,-29.342,116.165133,canola,w,edge,1349,1.349,0,0,0,0,0,1349,0,0,1,0,0,1,1,0,wood,YGJ,12,6,native forbs,high,0.4,0.6,0.09778,90,28.76,0.02876,3.353884,0.198596,1,yes,close,close,close,Neopasiphae mirabills,Neo,canola edge,0,0,1,0,0
1Bunk1C1bee1,Bunk1C1,bee,1,F,Bunketch,-30.439717,117.151917,wheat,w,core,371,0.371,0,0,0,371,0,0,0,0,1,0,0,1,1,0,wood,YGJ,1,12,native forbs,mid,0.5,0.8,0.04889,NA,179.48,0.17948,0.55032,0.414213,1,yes,far,far,close,Leioproctus sp21,Leio21,wheat core,0,0,1,0,0
1Bunk1C1bee2,Bunk1C1,bee,1,M,Bunketch,-30.439717,117.151917,wheat,w,core,218,0.218,0,0,27,147,0,0,44,0,1,0,0.325688073,0.674311927,3,0,wood,YGJ,1,12,native forbs,mid,0.5,0.8,0.04889,NA,179.48,0.17948,0.55032,0.414213,1,yes,far,far,close,Leioproctus sp15,Leio15,wheat core,0.847405478,0.771341707,1.491480996,0.847405478,0.771341707
1Bunk1C1beetle1,Bunk1C1,beetle,1,U,Bunketch,-30.439717,117.151917,wheat,w,core,374,0.374,0,0,337,37,0,0,0,0,1,0,0.901069519,0.098930481,2,0,wood,YGJ,1,12,native forbs,mid,0.5,0.8,0.04889,NA,179.48,0.17948,0.55032,0.414213,1,yes,far,far,close,Melyridae sp1,Mel1,wheat core,0.322726625,0.465596102,1.178764462,0.322726625,0.465596102
1Bunk1C1beetle2,Bunk1C1,beetle,1,U,Bunketch,-30.439717,117.151917,wheat,w,core,467,0.467,0,0,389,78,0,0,0,0,1,0,0.832976445,0.167023555,2,0,wood,YGJ,1,12,native forbs,mid,0.5,0.8,0.04889,NA,179.48,0.17948,0.55032,0.414213,1,yes,far,far,close,Melyridae sp1,Mel1,wheat core,0.45113514,0.650850429,1.278850484,0.45113514,0.650850429
1Bunk1E1bee1,Bunk1E1,bee,1,F,Bunketch,-30.44085,117.152267,wheat,w,edge,832,0.832,0,0,0,832,0,0,0,0,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Leioproctus sp21,Leio21,wheat edge,0,0,1,0,0
1Bunk1E1bee2,Bunk1E1,bee,1,M,Bunketch,-30.44085,117.152267,wheat,w,edge,298,0.298,0,0,0,298,0,0,0,0,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Leioproctus sp15,Leio15,wheat edge,0,0,1,0,0
1Bunk1E1bee3,Bunk1E1,bee,1,F,Bunketch,-30.44085,117.152267,wheat,w,edge,2614,2.614,0,0,0,2614,0,0,0,0,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Leioproctus sp21,Leio21,wheat edge,0,0,1,0,0
1Bunk1E1bee4,Bunk1E1,bee,1,M,Bunketch,-30.44085,117.152267,wheat,w,edge,177,0.177,0,0,18,159,0,0,0,0,1,0,0.101694915,0.898305085,2,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Leioproctus sp15,Leio15,wheat edge,0.328791203,0.474345438,1.183744222,0.328791203,0.474345438
1Bunk1E1bee5,Bunk1E1,bee,1,F,Bunketch,-30.44085,117.152267,wheat,w,edge,9559,9.559,0,0,0,0,0,0,0,9559,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Apis mellifera,Apis,wheat edge,0,0,1,0,0
1Bunk1E1bee6,Bunk1E1,bee,1,F,Bunketch,-30.44085,117.152267,wheat,w,edge,43403,43.403,0,0,0,0,0,0,0,43403,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Apis mellifera,Apis,wheat edge,0,0,1,0,0
1Bunk1E1fly1,Bunk1E1,fly,1,U,Bunketch,-30.44085,117.152267,wheat,w,edge,1659,1.659,0,0,0,0,0,0,0,1659,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Calliphoridae sp1,BF2,wheat edge,0,0,1,0,0
1Bunk1E1fly2,Bunk1E1,fly,1,U,Bunketch,-30.44085,117.152267,wheat,w,edge,1537,1.537,0,0,0,0,0,0,0,1537,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Muscidae sp1,Musc,wheat edge,0,0,1,0,0
1Bunk1E1fly3,Bunk1E1,fly,1,U,Bunketch,-30.44085,117.152267,wheat,w,edge,1037,1.037,0,0,0,0,0,0,35,1002,1,0,0.033751205,0.966248795,2,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Muscidae sp1,Musc,wheat edge,0.147549146,0.212868421,1.065287081,0.147549146,0.212868421
1Bunk1E1fly4,Bunk1E1,fly,1,U,Bunketch,-30.44085,117.152267,wheat,w,edge,1293,1.293,0,0,0,0,0,0,0,1293,1,0,0,1,1,0,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.08811,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close,Muscidae sp1,Musc,wheat edge,0,0,1,0,0
1Bunk1E2bee1,Bunk1E2,bee,1,M,Bunketch,-30.441283,117.151367,wheat,w,edge,1642,1.642,0,0,0,1642,0,0,0,0,1,0,0,1,1,0,wood,YGJ,7,7,native forbs,mid,0.5,0.4,0.05778,NA,33.18,0.03318,0.55032,0.414213,1,yes,close,close,close,Leioproctus sp22,Leio22,wheat edge,0,0,1,0,0
1Bunk1E2bee2,Bunk1E2,bee,1,M,Bunketch,-30.441283,117.151367,wheat,w,edge,109,0.109,0,0,0,109,0,0,0,0,1,0,0,1,1,0,wood,YGJ,7,7,native forbs,mid,0.5,0.4,0.05778,NA,33.18,0.03318,0.55032,0.414213,1,yes,close,close,close,Leioproctus sp15,Leio15,wheat edge,0,0,1,0,0
1Bunk1E2beetle1,Bunk1E2,beetle,1,U,Bunketch,-30.441283,117.151367,wheat,w,edge,191,0.191,0,0,38,134,0,0,19,0,1,0,0.298429319,0.701570681,3,0,wood,YGJ,7,7,native forbs,mid,0.5,0.4,0.05778,NA,33.18,0.03318,0.55032,0.414213,1,yes,close,close,close,Melyridae sp1,Mel1,wheat edge,0.799482078,0.727719948,1.460732984,0.799482078,0.727719948
1Bunk1E2fly1,Bunk1E2,fly,1,U,Bunketch,-30.441283,117.151367,wheat,w,edge,315,0.315,0,0,0,315,0,0,0,0,1,0,0,1,1,0,wood,YGJ,7,7,native forbs,mid,0.5,0.4,0.05778,NA,33.18,0.03318,0.55032,0.414213,1,yes,close,close,close,Muscidae sp1,Musc,wheat edge,0,0,1,0,0
1Jing1C1bee1,Jing1C1,bee,1,F,Jingymia,-30.46685,117.41655,wheat,w,core,904,0.904,0,0,904,0,0,0,0,0,1,0,1,0,1,0,wood,YGJ,11,0,native forbs,low,0.5,0.2,0.16889,NA,53.51,0.05351,0.125447,9.805052,1,no,close,far,close,Leioproctus sp2,Leio2,wheat core,0,0,1,0,0
1Jing1C1bee2,Jing1C1,bee,1,F,Jingymia,-30.46685,117.41655,wheat,w,core,435,0.435,0,0,413,0,0,0,22,0,1,0,1,0,2,0,wood,YGJ,11,0,native forbs,low,0.5,0.2,0.16889,NA,53.51,0.05351,0.125447,9.805052,1,no,close,far,close,Apis mellifera,Apis,wheat core,0.200203985,0.288833297,1.096255098,0.200203985,0.288833297
1Jing1C1wasp1,Jing1C1,wasp,1,U,Jingymia,-30.46685,117.41655,wheat,w,core,410,0.41,0,0,410,0,0,0,0,0,1,0,1,0,1,0,wood,YGJ,11,0,native forbs,low,0.5,0.2,0.16889,NA,53.51,0.05351,0.125447,9.805052,1,no,close,far,close,Hymenoptera wasp3,Wasp3,wheat core,0,0,1,0,0
1Jing1E1bee1,Jing1E1,bee,1,F,Jingymia,-30.466683,117.4142,wheat,w,edge,501,0.501,0,0,501,0,0,0,0,0,1,0,1,0,1,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Apis mellifera,Apis,wheat edge,0,0,1,0,0
1Jing1E1bee2,Jing1E1,bee,1,F,Jingymia,-30.466683,117.4142,wheat,w,edge,9593,9.593,0,0,9593,0,0,0,0,0,1,0,1,0,1,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Leioproctus sp9,Leio9,wheat edge,0,0,1,0,0
1Jing1E1bee3,Jing1E1,bee,1,F,Jingymia,-30.466683,117.4142,wheat,w,edge,623,0.623,0,0,599,24,0,0,0,0,1,0,0.961476726,0.038523274,2,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Apis mellifera,Apis,wheat edge,0.163222299,0.235480001,1.074197561,0.163222299,0.235480001
1Jing1E1bee4,Jing1E1,bee,1,F,Jingymia,-30.466683,117.4142,wheat,w,edge,822,0.822,0,0,822,0,0,0,0,0,1,0,1,0,1,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Apis mellifera,Apis,wheat edge,0,0,1,0,0
1Jing1E1bee5,Jing1E1,bee,1,F,Jingymia,-30.466683,117.4142,wheat,w,edge,784,0.784,0,0,745,0,39,0,0,0,1,0,0.950255102,0.049744898,2,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Apis mellifera,Apis,wheat edge,0.197763425,0.285312312,1.094661428,0.197763425,0.285312312
1Jing1E1bee6,Jing1E1,bee,1,F,Jingymia,-30.466683,117.4142,wheat,w,edge,728,0.728,0,0,546,182,0,0,0,0,1,0,0.75,0.25,2,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Apis mellifera,Apis,wheat edge,0.562335145,0.811278124,1.375515818,0.562335145,0.811278124
1Jing1E1bee7,Jing1E1,bee,1,F,Jingymia,-30.466683,117.4142,wheat,w,edge,652,0.652,0,0,554,65,0,0,33,0,1,0,0.900306748,0.099693252,3,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Apis mellifera,Apis,wheat edge,0.519263644,0.472654138,1.265928774,0.519263644,0.472654138
1Jing1E1fly1,Jing1E1,fly,1,U,Jingymia,-30.466683,117.4142,wheat,w,edge,589,0.589,0,0,334,196,0,59,0,0,1,0,0.567062818,0.432937182,3,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Muscidae sp1,Musc,wheat edge,0.918313664,0.835885119,1.558620052,0.918313664,0.835885119
1Jing1E1wasp1,Jing1E1,wasp,1,U,Jingymia,-30.466683,117.4142,wheat,w,edge,1272,1.272,0,106,1166,0,0,0,0,0,1,0,0.916666667,0.083333333,2,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Hymenoptera wasp3,Wasp3,wheat edge,0.286835983,0.41381685,1.152897981,0.286835983,0.41381685
1Jing1E1wasp2,Jing1E1,wasp,1,U,Jingymia,-30.466683,117.4142,wheat,w,edge,695,0.695,0,0,695,0,0,0,0,0,1,0,1,0,1,0,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.16889,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close,Hymenoptera wasp3,Wasp3,wheat edge,0,0,1,0,0
1Jing1E2beetle1,Jing1E2,beetle,1,U,Jingymia,-30.466833,117.414967,wheat,w,edge,603,0.603,0,0,0,530,73,0,0,0,1,0,0,1,2,0,wood,YGJ,6,1,native forbs,low,0.5,0.2,0.13333,NA,37.25,0.03725,0.125447,9.805052,1,no,close,close,close,Elateridae sp1,CB,wheat edge,0.369034356,0.532404036,1.213164521,0.369034356,0.532404036
1Jing1E2fly1,Jing1E2,fly,1,U,Jingymia,-30.466833,117.414967,wheat,w,edge,1685,1.685,0,0,0,0,1651,0,34,0,1,0,0.020178042,0.979821958,2,0,wood,YGJ,6,1,native forbs,low,0.5,0.2,0.13333,NA,37.25,0.03725,0.125447,9.805052,1,no,close,close,close,Calliphoridae sp1,BF2,wheat edge,0.098731213,0.142439031,1.039565257,0.098731213,0.142439031
1Jing1E2fly2,Jing1E2,fly,1,U,Jingymia,-30.466833,117.414967,wheat,w,edge,635,0.635,0,0,0,0,635,0,0,0,1,0,0,1,1,0,wood,YGJ,6,1,native forbs,low,0.5,0.2,0.13333,NA,37.25,0.03725,0.125447,9.805052,1,no,close,close,close,Melangyna collatus complex,SF,wheat edge,0,0,1,0,0
1Jing1E2fly3,Jing1E2,fly,1,U,Jingymia,-30.466833,117.414967,wheat,w,edge,794,0.794,0,0,0,0,0,778,16,0,1,0,0.020151134,0.979848866,2,0,wood,YGJ,6,1,native forbs,low,0.5,0.2,0.13333,NA,37.25,0.03725,0.125447,9.805052,1,no,close,close,close,Melangyna collatus complex,SF,wheat edge,0.098626716,0.142288275,1.039539929,0.098626716,0.142288275
1Jing1E2wasp1,Jing1E2,wasp,1,U,Jingymia,-30.466833,117.414967,wheat,w,edge,383,0.383,0,0,128,0,0,207,48,0,1,0,0.459530026,0.540469974,3,0,wood,YGJ,6,1,native forbs,low,0.5,0.2,0.13333,NA,37.25,0.03725,0.125447,9.805052,1,no,close,close,close,Hymenoptera wasp3,Wasp3,wheat edge,0.959130779,0.873038458,1.582013041,0.959130779,0.873038458
1Lath1C1bee2,Lath1C1,bee,1,M,Latham,-29.757867,116.439333,wheat,w,core,155,0.155,0,0,0,0,155,0,0,0,1,0,0,1,1,0,wood,YGJ,18,4,shrubs,mid,0.6,0.6,0.06222,NA,314.62,0.31462,0.636383,1.293927,1,yes,far,far,far,Leioproctus sp1,Leio1,wheat core,0,0,1,0,0
1Lath1C1fly3,Lath1C1,fly,1,U,Latham,-29.757767,116.4366,wheat,w,core,490,0.49,0,0,24,466,0,0,0,0,1,0,0.048979592,0.951020408,2,0,wood,YGJ,18,4,shrubs,mid,0.6,0.6,0.06222,NA,314.62,0.31462,0.636383,1.293927,1,yes,far,far,far,Aphoideae sp1,Aphid,wheat core,0.195499682,0.282046422,1.093351697,0.195499682,0.282046422
1Lath1C1fly4,Lath1C1,fly,1,U,Latham,-29.757867,116.439333,wheat,w,core,443,0.443,0,0,0,443,0,0,0,0,1,0,0,1,1,0,wood,YGJ,18,4,shrubs,mid,0.6,0.6,0.06222,NA,314.62,0.31462,0.636383,1.293927,1,yes,far,far,far,Aphoideae sp1,Aphid,wheat core,0,0,1,0,0
1Lath1C1wasp1,Lath1C1,wasp,1,U,Latham,-29.757867,116.439333,wheat,w,core,574,0.574,0,0,0,574,0,0,0,0,1,0,0,1,1,0,wood,YGJ,18,4,shrubs,mid,0.6,0.6,0.06222,NA,314.62,0.31462,0.636383,1.293927,1,yes,far,far,far,Ichneumonidae sp1,IW,wheat core,0,0,1,0,0
1Lath1E1bee1,Lath1E1,bee,1,M,Latham,-29.757767,116.4366,wheat,w,edge,256,0.256,0,0,0,0,0,2,254,0,1,0,0.9921875,0.0078125,2,0,wood,YGJ,9,2,native forbs,low,0.5,0.2,0.04444,NA,51.67,0.05167,0.636383,1.293927,1,yes,close,far,close,Hylaeus desertoris,H.des,wheat edge,0.045688389,0.065914412,1.015563725,0.045688389,0.065914412
1Lath1E1beetle1,Lath1E1,beetle,1,U,Latham,-29.757767,116.4366,wheat,w,edge,186,0.186,0,0,0,167,19,0,0,0,1,0,0,1,2,0,wood,YGJ,9,2,native forbs,low,0.5,0.2,0.04444,NA,51.67,0.05167,0.636383,1.293927,1,yes,close,far,close,Elateridae sp1,CB,wheat edge,0.329782656,0.475775803,1.184423133,0.329782656,0.475775803
