insectID,site,trip.site,site.can,taxa,trip,loc.trip,loc.land.trip,loc.trip.ec,morpho,morpho.order,family,simp.name,genus,species,sex,lat,long,location,can.cov,loc.can,loc.land,l.context,c/w,ce,total.poll,plant,freq,avg,prop.freq,b.napus,e.planta,prot,aster,v.rosea,sola,acacia,fire,prop.noncrop,prop.crop,prop.tree,prop.flow,richness,wood.crop,veg,shrubs,trees,dom.under,canopy,soil,debris,flow.cov,canola.cov,dist,scdist,native.veg,ag.field,year,changeover,zone100,zone50,zone200
2Per1CAN2bee4,Per1CAN2,2Per1CAN2,Per1CAN2MID,bee,2,Perenjori2,Perenjori.canola2,Perenjori2crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.48025,116.201,Perenjori,MID,PerenjoriMID,Perenjori.canola,canola,c,crop,6397,b.napus,6392,2283.1043,2.799696886,6392,0,2,3,0,0,0,0,0.000781616,0.999218384,0.000312647,0.00046897,3,crop,canola,0,0,crop,low,0,0,0.6,60,NA,NA,3.564737,1.549344,1,no,NA,NA,NA
2Per1CAN2bee4,Per1CAN2,2Per1CAN2,Per1CAN2MID,bee,2,Perenjori2,Perenjori.canola2,Perenjori2crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.48025,116.201,Perenjori,MID,PerenjoriMID,Perenjori.canola,canola,c,crop,6397,prot,2,1472.25,0.001358465,6392,0,2,3,0,0,0,0,0.000781616,0.999218384,0.000312647,0.00046897,3,crop,canola,0,0,crop,low,0,0,0.6,60,NA,NA,3.564737,1.549344,1,no,NA,NA,NA
2Per1CAN2bee4,Per1CAN2,2Per1CAN2,Per1CAN2MID,bee,2,Perenjori2,Perenjori.canola2,Perenjori2crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.48025,116.201,Perenjori,MID,PerenjoriMID,Perenjori.canola,canola,c,crop,6397,aster,3,2387.8916,0.001256338,6392,0,2,3,0,0,0,0,0.000781616,0.999218384,0.000312647,0.00046897,3,crop,canola,0,0,crop,low,0,0,0.6,60,NA,NA,3.564737,1.549344,1,no,NA,NA,NA
2Per2C1fly3,Per2C1,2Per2C1,Per2C1NA,fly,2,Perenjori2,Perenjori.wheat2,Perenjori2core,HvF,42,Bombyliidae,Bombyliidae,NA,NA,U,-29.477517,116.197067,Perenjori,NA,PerenjoriNA,Perenjori.wheat,wheat,w,core,2734,v.rosea,2687,3128.14,0.8589769,0,0,0,47,2687,0,0,0,1,0,0,1,2,wood,YGJ,0,6,native forbs,high,0.6,0.8,0.08444,NA,230.9,0.2309,3.564737,3.465845,1,no,far,far,far
2Per2C1fly3,Per2C1,2Per2C1,Per2C1NA,fly,2,Perenjori2,Perenjori.wheat2,Perenjori2core,HvF,42,Bombyliidae,Bombyliidae,NA,NA,U,-29.477517,116.197067,Perenjori,NA,PerenjoriNA,Perenjori.wheat,wheat,w,core,2734,aster,47,2387.8916,0.019682636,0,0,0,47,2687,0,0,0,1,0,0,1,2,wood,YGJ,0,6,native forbs,high,0.6,0.8,0.08444,NA,230.9,0.2309,3.564737,3.465845,1,no,far,far,far
2Per2C1wasp4,Per2C1,2Per2C1,Per2C1NA,bee,2,Perenjori2,Perenjori.wheat2,Perenjori2core,Neo,3,Colletidae,Colletidae,Neopasiphae,NA,F,-29.477517,116.197067,Perenjori,NA,PerenjoriNA,Perenjori.wheat,wheat,w,core,1847,aster,47,2387.8916,0.019682636,0,0,0,47,1136,664,0,0,1,0,0,1,3,wood,YGJ,0,6,native forbs,high,0.6,0.8,0.08444,NA,230.9,0.2309,3.564737,3.465845,1,no,far,far,far
2Per2C1wasp4,Per2C1,2Per2C1,Per2C1NA,bee,2,Perenjori2,Perenjori.wheat2,Perenjori2core,Neo,3,Colletidae,Colletidae,Neopasiphae,NA,F,-29.477517,116.197067,Perenjori,NA,PerenjoriNA,Perenjori.wheat,wheat,w,core,1847,v.rosea,1136,3128.14,0.363155102,0,0,0,47,1136,664,0,0,1,0,0,1,3,wood,YGJ,0,6,native forbs,high,0.6,0.8,0.08444,NA,230.9,0.2309,3.564737,3.465845,1,no,far,far,far
2Per2C1wasp4,Per2C1,2Per2C1,Per2C1NA,bee,2,Perenjori2,Perenjori.wheat2,Perenjori2core,Neo,3,Colletidae,Colletidae,Neopasiphae,NA,F,-29.477517,116.197067,Perenjori,NA,PerenjoriNA,Perenjori.wheat,wheat,w,core,1847,sola,664,504.4062,1.316399362,0,0,0,47,1136,664,0,0,1,0,0,1,3,wood,YGJ,0,6,native forbs,high,0.6,0.8,0.08444,NA,230.9,0.2309,3.564737,3.465845,1,no,far,far,far
2Road2E1bee2,Road2E1,2Road2E1,Road2E1LOW,bee,2,Roadside 22,Roadside 2.canola2,Roadside 22edge,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.758117,116.483783,Roadside 2,LOW,Roadside 2LOW,Roadside 2.canola,canola,r,edge,1041,b.napus,261,2283.1043,0.114318036,261,0,534,246,0,0,0,0,0.749279539,0.250720461,0.5129683,0.236311239,3,wood,YGJ,5,0,native forbs,mid,0.5,0.2,0.13778,10,2.77,0.00277,0.000584,0.937644,1,no,close,close,close
2Road2E1bee2,Road2E1,2Road2E1,Road2E1LOW,bee,2,Roadside 22,Roadside 2.canola2,Roadside 22edge,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.758117,116.483783,Roadside 2,LOW,Roadside 2LOW,Roadside 2.canola,canola,r,edge,1041,prot,534,1472.25,0.362710138,261,0,534,246,0,0,0,0,0.749279539,0.250720461,0.5129683,0.236311239,3,wood,YGJ,5,0,native forbs,mid,0.5,0.2,0.13778,10,2.77,0.00277,0.000584,0.937644,1,no,close,close,close
2Road2E1bee2,Road2E1,2Road2E1,Road2E1LOW,bee,2,Roadside 22,Roadside 2.canola2,Roadside 22edge,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.758117,116.483783,Roadside 2,LOW,Roadside 2LOW,Roadside 2.canola,canola,r,edge,1041,aster,246,2387.8916,0.103019752,261,0,534,246,0,0,0,0,0.749279539,0.250720461,0.5129683,0.236311239,3,wood,YGJ,5,0,native forbs,mid,0.5,0.2,0.13778,10,2.77,0.00277,0.000584,0.937644,1,no,close,close,close
2Road2E1bee5,Road2E1,2Road2E1,Road2E1LOW,bee,2,Roadside 22,Roadside 2.canola2,Roadside 22edge,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.758117,116.483783,Roadside 2,LOW,Roadside 2LOW,Roadside 2.canola,canola,r,edge,11367,prot,3,1472.25,0.002037697,0,0,3,11364,0,0,0,0,1,0,0.000263922,0.999736078,2,wood,YGJ,5,0,native forbs,mid,0.5,0.2,0.13778,10,2.77,0.00277,0.000584,0.937644,1,no,close,close,close
2Road2E1bee5,Road2E1,2Road2E1,Road2E1LOW,bee,2,Roadside 22,Roadside 2.canola2,Roadside 22edge,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.758117,116.483783,Roadside 2,LOW,Roadside 2LOW,Roadside 2.canola,canola,r,edge,11367,aster,11364,2387.8916,4.759009999,0,0,3,11364,0,0,0,0,1,0,0.000263922,0.999736078,2,wood,YGJ,5,0,native forbs,mid,0.5,0.2,0.13778,10,2.77,0.00277,0.000584,0.937644,1,no,close,close,close
3Bow1CAN1bee1,Bow1CAN1,3Bow1CAN1,Bow1CAN1LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342417,116.166883,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,33475,b.napus,33475,2283.1043,14.66205464,33475,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN1bee5,Bow1CAN1,3Bow1CAN1,Bow1CAN1LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,34,4,Colletidae,Colletidae,NA,NA,F,-29.342417,116.166883,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,866,b.napus,866,2283.1043,0.37930812,866,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN1bee6,Bow1CAN1,3Bow1CAN1,Bow1CAN1LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342417,116.166883,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,1028,b.napus,1028,2283.1043,0.450264143,1028,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN1bee7,Bow1CAN1,3Bow1CAN1,Bow1CAN1LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342417,116.166883,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,2666,b.napus,2666,2283.1043,1.16770837,2666,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN1bee8,Bow1CAN1,3Bow1CAN1,Bow1CAN1LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342417,116.166883,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,1095,b.napus,1095,2283.1043,0.479610152,1095,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN2bee2,Bow1CAN2,3Bow1CAN2,Bow1CAN2LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342517,116.1648,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,1077,b.napus,1077,2283.1043,0.471726149,1077,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN2bee3,Bow1CAN2,3Bow1CAN2,Bow1CAN2LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342517,116.1648,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,1729,b.napus,1729,2283.1043,0.75730224,1729,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN2bee5,Bow1CAN2,3Bow1CAN2,Bow1CAN2LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342517,116.1648,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,2466,b.napus,2466,2283.1043,1.080108342,2466,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN2bee6,Bow1CAN2,3Bow1CAN2,Bow1CAN2LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342517,116.1648,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,299,b.napus,299,2283.1043,0.130962041,299,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN2bee7,Bow1CAN2,3Bow1CAN2,Bow1CAN2LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342517,116.1648,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,438,b.napus,438,2283.1043,0.191844061,438,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1CAN2bee8,Bow1CAN2,3Bow1CAN2,Bow1CAN2LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342517,116.1648,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,2964,b.napus,2964,2283.1043,1.298232411,2964,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
3Bow1E1bee1,Bow1E1,3Bow1E1,Bow1E1LOW,bee,3,Bowgada3,Bowgada.canola3,Bowgada3edge,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.341917,116.166817,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,w,edge,24848,aster,24848,2387.8916,10.40583249,0,0,0,24848,0,0,0,0,1,0,0,1,1,wood,YGJ,10,6,native forbs,high,0.5,0.4,0.17333,10,39.67,0.03967,3.353884,0.198596,1,yes,close,close,close
3Bunk1C1bee1,Bunk1C1,3Bunk1C1,Bunk1C1NA,bee,3,Bunketch3,Bunketch.wheat3,Bunketch3core,11,5,Colletidae,Colletidae,NA,NA,F,-30.439717,117.151917,Bunketch,NA,BunketchNA,Bunketch.wheat,wheat,w,core,1645,aster,1645,2387.8916,0.688892243,0,0,0,1645,0,0,0,0,1,0,0,1,1,wood,YGJ,1,12,native forbs,mid,0.5,0.8,0.08,NA,179.48,0.17948,0.55032,0.414213,1,yes,far,far,close
3Bunk1C1bee4,Bunk1C1,3Bunk1C1,Bunk1C1NA,bee,3,Bunketch3,Bunketch.wheat3,Bunketch3core,11,5,Colletidae,Colletidae,NA,NA,F,-30.439717,117.151917,Bunketch,NA,BunketchNA,Bunketch.wheat,wheat,w,core,5225,aster,5225,2387.8916,2.188122777,0,0,0,5225,0,0,0,0,1,0,0,1,1,wood,YGJ,1,12,native forbs,mid,0.5,0.8,0.08,NA,179.48,0.17948,0.55032,0.414213,1,yes,far,far,close
3Bunk1C1fly1,Bunk1C1,3Bunk1C1,Bunk1C1NA,fly,3,Bunketch3,Bunketch.wheat3,Bunketch3core,HvF,42,Bombyliidae,Bombyliidae,NA,NA,U,-30.439717,117.151917,Bunketch,NA,BunketchNA,Bunketch.wheat,wheat,w,core,556,aster,556,2387.8916,0.23284139,0,0,0,556,0,0,0,0,1,0,0,1,1,wood,YGJ,1,12,native forbs,mid,0.5,0.8,0.08,NA,179.48,0.17948,0.55032,0.414213,1,yes,far,far,close
3Bunk1E1bee5,Bunk1E1,3Bunk1E1,Bunk1E1NA,bee,3,Bunketch3,Bunketch.wheat3,Bunketch3edge,11,5,Colletidae,Colletidae,NA,NA,F,-30.44085,117.152267,Bunketch,NA,BunketchNA,Bunketch.wheat,wheat,w,edge,14227,aster,14227,2387.8916,5.957975647,0,0,0,14227,0,0,0,0,1,0,0,1,1,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.09778,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close
3Bunk1E1bee6,Bunk1E1,3Bunk1E1,Bunk1E1NA,bee,3,Bunketch3,Bunketch.wheat3,Bunketch3edge,11,5,Colletidae,Colletidae,NA,NA,F,-30.44085,117.152267,Bunketch,NA,BunketchNA,Bunketch.wheat,wheat,w,edge,10461,aster,10461,2387.8916,4.380852129,0,0,0,10461,0,0,0,0,1,0,0,1,1,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.09778,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close
3Bunk1E1fly1,Bunk1E1,3Bunk1E1,Bunk1E1NA,fly,3,Bunketch3,Bunketch.wheat3,Bunketch3edge,HvF,42,Bombyliidae,Bombyliidae,NA,NA,U,-30.44085,117.152267,Bunketch,NA,BunketchNA,Bunketch.wheat,wheat,w,edge,728,aster,728,2387.8916,0.304871461,0,0,0,728,0,0,0,0,1,0,0,1,1,wood,YGJ,4,5,native forbs,mid,0.6,0.8,0.09778,NA,47.83,0.04783,0.55032,0.414213,1,yes,close,close,close
3Bunk1E2bee1,Bunk1E2,3Bunk1E2,Bunk1E2NA,bee,3,Bunketch3,Bunketch.wheat3,Bunketch3edge,11,5,Colletidae,Colletidae,NA,NA,F,-30.44085,117.152267,Bunketch,NA,BunketchNA,Bunketch.wheat,wheat,w,edge,20485,aster,20485,2387.8916,8.578697626,0,0,0,20485,0,0,0,0,1,0,0,1,1,wood,YGJ,7,7,native forbs,mid,0.5,0.4,0.05778,NA,33.18,0.03318,0.55032,0.414213,1,yes,close,close,close
3Jing1E1bee2,Jing1E1,3Jing1E1,Jing1E1NA,bee,3,Jingymia3,Jingymia.wheat3,Jingymia3edge,HB,1,Apidae,Apidae,Apis,mellifera,F,-30.466683,117.4142,Jingymia,NA,JingymiaNA,Jingymia.wheat,wheat,w,edge,5077,acacia,5077,417.2459,12.16788469,0,0,0,0,0,0,5077,0,1,0,1,0,1,wood,YGJ,5,3,native forbs,low,0.2,0.2,0.17778,NA,57.9,0.0579,0.125447,9.805052,1,no,close,far,close
3Mol1C2beetle1,Mol1C2,3Mol1C2,Mol1C2MID,beetle,3,Mollerin3,Mollerin.canola3,Mollerin3core,CB,33,Elateridae,Elateridae,NA,NA,U,-30.454283,117.534967,Mollerin,MID,MollerinMID,Mollerin.canola,canola,w,core,581,aster,581,2387.8916,0.243310877,0,0,0,581,0,0,0,0,1,0,0,1,1,wood,YGJ,10,5,native forbs,mid,0.4,0.6,0.09778,60,125.19,0.12519,1.160919,0.304636,1,no,far,far,close
3Mol1C2fly2,Mol1C2,3Mol1C2,Mol1C2MID,fly,3,Mollerin3,Mollerin.canola3,Mollerin3core,HvF,42,Bombyliidae,Bombyliidae,NA,NA,U,-30.454283,117.534967,Mollerin,MID,MollerinMID,Mollerin.canola,canola,w,core,6052,aster,6052,2387.8916,2.534453407,0,0,0,6052,0,0,0,0,1,0,0,1,1,wood,YGJ,10,5,native forbs,mid,0.4,0.6,0.09778,60,125.19,0.12519,1.160919,0.304636,1,no,far,far,close
3Road1CAN1bee1,Road1CAN1,3Road1CAN1,Road1CAN1MID,bee,3,Roadside 13,Roadside 1.canola3,Roadside 13crop,33,6,Colletidae,Colletidae,NA,NA,F,-29.765883,116.4114,Roadside 1,MID,Roadside 1MID,Roadside 1.canola,canola,r,crop,2986,b.napus,2986,2283.1043,1.307868414,2986,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.4,40,NA,NA,0.048619,0.967782,1,no,NA,NA,NA
3Road1CAN1bee2,Road1CAN1,3Road1CAN1,Road1CAN1MID,bee,3,Roadside 13,Roadside 1.canola3,Roadside 13crop,33,6,Colletidae,Colletidae,NA,NA,F,-29.765883,116.4114,Roadside 1,MID,Roadside 1MID,Roadside 1.canola,canola,r,crop,4665,b.napus,4665,2283.1043,2.043270647,4665,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.4,40,NA,NA,0.048619,0.967782,1,no,NA,NA,NA
3Road1CAN1bee3,Road1CAN1,3Road1CAN1,Road1CAN1MID,bee,3,Roadside 13,Roadside 1.canola3,Roadside 13crop,2,25,Halictidae,Halictidae,Lasioglossum,NA,F,-29.765883,116.4114,Roadside 1,MID,Roadside 1MID,Roadside 1.canola,canola,r,crop,1049,b.napus,1049,2283.1043,0.459462145,1049,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.4,40,NA,NA,0.048619,0.967782,1,no,NA,NA,NA
3Road1CAN1bee8,Road1CAN1,3Road1CAN1,Road1CAN1MID,bee,3,Roadside 13,Roadside 1.canola3,Roadside 13crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.765883,116.4114,Roadside 1,MID,Roadside 1MID,Roadside 1.canola,canola,r,crop,10917,b.napus,10917,2283.1043,4.781647514,10917,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.4,40,NA,NA,0.048619,0.967782,1,no,NA,NA,NA
3Road1CAN1beetle1,Road1CAN1,3Road1CAN1,Road1CAN1MID,beetle,3,Roadside 13,Roadside 1.canola3,Roadside 13crop,GB,34,Green,Green,NA,NA,U,-29.765883,116.4114,Roadside 1,MID,Roadside 1MID,Roadside 1.canola,canola,r,crop,2486,b.napus,2412,2283.1043,1.056456334,2412,0,0,74,0,0,0,0,0.029766693,0.970233307,0,0.029766693,2,crop,canola,0,0,crop,low,0,0,0.4,40,NA,NA,0.048619,0.967782,1,no,NA,NA,NA
3Road1CAN1beetle1,Road1CAN1,3Road1CAN1,Road1CAN1MID,beetle,3,Roadside 13,Roadside 1.canola3,Roadside 13crop,GB,34,Green,Green,NA,NA,U,-29.765883,116.4114,Roadside 1,MID,Roadside 1MID,Roadside 1.canola,canola,r,crop,2486,aster,74,2387.8916,0.030989681,2412,0,0,74,0,0,0,0,0.029766693,0.970233307,0,0.029766693,2,crop,canola,0,0,crop,low,0,0,0.4,40,NA,NA,0.048619,0.967782,1,no,NA,NA,NA
3Road1CAN1fly1,Road1CAN1,3Road1CAN1,Road1CAN1MID,fly,3,Roadside 13,Roadside 1.canola3,Roadside 13crop,SF,41,Syrphidae,Syrphidae,NA,NA,U,-29.765883,116.4114,Roadside 1,MID,Roadside 1MID,Roadside 1.canola,canola,r,crop,3330,b.napus,3330,2283.1043,1.458540462,3330,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.4,40,NA,NA,0.048619,0.967782,1,no,NA,NA,NA
